cfj_006,drift,tetrasporophyte,diploid
cfj_009,drift,tetrasporophyte,diploid
cfj_016,drift,tetrasporophyte,diploid
cfj_028,drift,tetrasporophyte,diploid
cfj_035,drift,vegetative,diploid
cfj_037,drift,tetrasporophyte,diploid
cfj_049,drift,tetrasporophyte,diploid
cfj_056,drift,tetrasporophyte,diploid
cfj_058,drift,tetrasporophyte,diploid
cfj_066,drift,tetrasporophyte,diploid
cfj_069,drift,tetrasporophyte,diploid
cfj_071,drift,tetrasporophyte,diploid
cfj_074,drift,tetrasporophyte,diploid
cfj_079,drift,tetrasporophyte,diploid
cfj_083,drift,tetrasporophyte,diploid
cfj_091,drift,tetrasporophyte,diploid
fjs_011,attached,male gametophyte,haploid
fjs_012,attached,male gametophyte,haploid
fjs_013,attached,male gametophyte,haploid
fjs_014,attached,male gametophyte,haploid
fjs_015,attached,male gametophyte,haploid
fjs_016,attached,male gametophyte,haploid
fjs_017,attached,male gametophyte,haploid
fjs_018,attached,male gametophyte,haploid
fjs_019,attached,male gametophyte,haploid
fjs_020,attached,male gametophyte,haploid
fjs_021,attached,female gametophyte,haploid
fjs_022,attached,female gametophyte,haploid
fjs_023,attached,female gametophyte,haploid
fjs_024,attached,female gametophyte,haploid
fjs_025,attached,female gametophyte,haploid
fjs_026,attached,female gametophyte,haploid
fjs_027,attached,female gametophyte,haploid
fjs_028,attached,female gametophyte,haploid
fjs_029,attached,female gametophyte,haploid
fjs_030,attached,female gametophyte,haploid
mng_101,attached,tetrasporophyte,diploid
mng_105,attached,female gametophyte,haploid
mng_107,attached,female gametophyte,haploid
mng_111,attached,tetrasporophyte,diploid
mng_112,attached,female gametophyte,haploid
mng_115,attached,tetrasporophyte,diploid
mng_116,attached,female gametophyte,haploid
mng_117,attached,tetrasporophyte,diploid
mng_118,attached,tetrasporophyte,diploid
mng_119,attached,female gametophyte,haploid
mng_121,attached,female gametophyte,haploid
mng_122,attached,tetrasporophyte,diploid
mng_126,attached,tetrasporophyte,diploid
mng_130,attached,tetrasporophyte,diploid
mng_131,attached,female gametophyte,haploid
mng_134,attached,male gametophyte,haploid
mng_135,attached,male gametophyte,haploid
mng_136,attached,tetrasporophyte,diploid
mng_137,attached,female gametophyte,haploid
mng_138,attached,tetrasporophyte,diploid
mng_140,attached,female gametophyte,haploid
mng_141,attached,tetrasporophyte,diploid
mng_143,attached,female gametophyte,haploid
mng_144,attached,tetrasporophyte,diploid
mng_145,attached,tetrasporophyte,diploid
mng_147,attached,tetrasporophyte,diploid
mng_148,attached,male gametophyte,haploid
mng_149,attached,tetrasporophyte,diploid
mng_158,attached,tetrasporophyte,diploid
mng_166,attached,male gametophyte,haploid
mng_176,attached,male gametophyte,haploid
mng_183,attached,male gametophyte,haploid
mng_185,attached,male gametophyte,haploid
mng_188,attached,male gametophyte,haploid
mng_189,attached,male gametophyte,haploid
mng_192,attached,male gametophyte,haploid
